county,relative_time,real_time,lat,long,degree,degree_centrality,closeness_centrality
Albany,5,3/12/20,42.60060306,-73.97723916,4,0.06451612903225806,0.15277908398382395
Allegany,8,3/16/20,42.25748406,-78.02750466,9,0.14516129032258063,0.20077864293659622
Broome,6,3/13/20,42.15903158,-75.81326086,9,0.14516129032258063,0.17294793995528585
Cattaraugus,19,3/28/20,42.24778241,-78.67923096,2,0.03225806451612903,0.09906091834867979
Cayuga,16,3/24/20,42.91261714,-76.55731592,5,0.08064516129032258,0.13334154149224328
Chautauqua,16,3/24/20,42.22769210000001,-79.36691763,5,0.08064516129032258,0.13334154149224328
Chemung,15,3/23/20,42.13891056,-76.7638805,4,0.06451612903225806,0.1467877473570073
Chenango,10,3/18/20,42.49430041,-75.60887553,8,0.12903225806451613,0.20877779205757613
Clinton,9,3/17/20,44.74530905,-73.67875352,11,0.1774193548387097,0.20877779205757613
Columbia,12,3/20/20,42.24819348,-73.63089095,5,0.08064516129032258,0.19055718475073313
Cortland,14,3/22/20,42.59509207,-76.07048931,7,0.11290322580645161,0.16324992463069038
Delaware,5,3/12/20,42.19837623,-74.96709306,4,0.06451612903225806,0.15277908398382395
Dutchess,5,3/12/20,41.76486060000001,-73.74356679,4,0.06451612903225806,0.15277908398382395
Erie,7,3/14/20,42.76249024,-78.73063652,8,0.12903225806451613,0.18918132060090834
Essex,9,3/17/20,44.11630765,-73.77297842,11,0.1774193548387097,0.20877779205757613
Franklin,17,3/25/20,44.59040891,-74.29926032,4,0.06451612903225806,0.12102361618118156
Fulton,13,3/21/20,43.11363907,-74.41798804,4,0.06451612903225806,0.1764418377321603
Genesee,10,3/18/20,43.0022601,-78.19135193,8,0.12903225806451613,0.20877779205757613
Greene,8,3/16/20,42.275797,-74.12384884,9,0.14516129032258063,0.20077864293659622
Hamilton,10,3/18/20,43.66146647,-74.49721957,8,0.12903225806451613,0.20877779205757613
Herkimer,5,3/12/20,43.42034246,-74.96145307,4,0.06451612903225806,0.15277908398382395
Jefferson,13,3/21/20,44.04200959,-75.94653457,4,0.06451612903225806,0.1764418377321603
Lewis,20,3/31/20,43.784415700000004,-75.44903992,3,0.04838709677419355,0.09050643489888016
Livingston,13,3/21/20,42.72596275,-77.77966158,4,0.06451612903225806,0.1764418377321603
Madison,15,3/23/20,42.91653905,-75.67266639,4,0.06451612903225806,0.1467877473570073
Monroe,5,3/12/20,43.14638895,-77.69322942,4,0.06451612903225806,0.15277908398382395
Montgomery,8,3/16/20,42.90123494,-74.44011632,9,0.14516129032258063,0.20077864293659622
Nassau,2,3/5/20,40.74066522,-73.58941873,3,0.04838709677419355,0.10986001217285453
New York,0,3/2/20,40.76727260000001,-73.97152637,1,0.016129032258064516,0.0892729570808375
Niagara,11,3/19/20,43.19898042,-78.74777412,8,0.12903225806451613,0.20390360235973387
Oneida,9,3/17/20,43.24375382,-75.43710392,11,0.1774193548387097,0.20877779205757613
Onondaga,8,3/16/20,43.00491923,-76.19971155,9,0.14516129032258063,0.20077864293659622
Ontario,8,3/16/20,42.85145728,-77.30874425,9,0.14516129032258063,0.20077864293659622
Orange,5,3/12/20,41.40337468,-74.30240757,4,0.06451612903225806,0.15277908398382395
Orleans,18,3/26/20,43.2516977,-78.2320066,3,0.04838709677419355,0.1094013064852852
Oswego,15,3/23/20,43.42778894,-76.14635194,4,0.06451612903225806,0.1467877473570073
Otsego,15,3/23/20,42.63492579,-75.03151402,4,0.06451612903225806,0.1467877473570073
Putnam,8,3/16/20,41.42630093,-73.74965532,9,0.14516129032258063,0.20077864293659622
Rensselaer,9,3/17/20,42.71348136,-73.51089874,11,0.1774193548387097,0.20877779205757613
Rockland,3,3/7/20,41.15027894,-74.02560498,3,0.04838709677419355,0.12272418221651432
St. Lawrence,16,3/24/20,44.4976179,-75.06550039,5,0.08064516129032258,0.13334154149224328
Saratoga,3,3/7/20,43.10904162,-73.86653895,3,0.04838709677419355,0.12272418221651432
Schenectady,6,3/13/20,42.81668777,-74.05278291,9,0.14516129032258063,0.17294793995528585
Schoharie,11,3/19/20,42.58831742,-74.44339029999998,8,0.12903225806451613,0.20390360235973387
Schuyler,19,3/28/20,42.39184015,-76.8773299,2,0.03225806451612903,0.09906091834867979
Seneca,21,4/1/20,42.78081007,-76.82497064,2,0.03225806451612903,0.0827855068032411
Steuben,12,3/20/20,42.2689144,-77.3829924,5,0.08064516129032258,0.19055718475073313
Suffolk,4,3/8/20,40.88320119,-72.8012172,8,0.12903225806451613,0.13826708656055836
Sullivan,9,3/17/20,41.71579493,-74.76394559,11,0.1774193548387097,0.20877779205757613
Tioga,7,3/14/20,42.16852837,-76.30835812,8,0.12903225806451613,0.18918132060090834
Tompkins,7,3/14/20,42.44945765,-76.47229843,8,0.12903225806451613,0.18918132060090834
Ulster,4,3/8/20,41.89027881,-74.26252104,8,0.12903225806451613,0.13826708656055836
Warren,10,3/18/20,43.56173026,-73.8433699,8,0.12903225806451613,0.20877779205757613
Washington,10,3/18/20,43.31153794,-73.43043448,8,0.12903225806451613,0.20877779205757613
Wayne,12,3/20/20,43.15494365,-77.02976528,5,0.08064516129032258,0.19055718475073313
Westchester,1,3/3/20,41.16278376,-73.75741653,2,0.03225806451612903,0.0986878075451066
Wyoming,9,3/17/20,42.70145109,-78.22199579,11,0.1774193548387097,0.20877779205757613
Yates,22,4/2/20,42.63505484,-77.10369919,1,0.016129032258064516,0.07605693150428391
