source,target,distance
Albany,Schoharie,3.0434782608695654
Albany,Columbia,2.933333333333333
Albany,Fulton,3.0
Albany,Otsego,2.7547169811320753
Cattaraugus,Erie,11.82857142857143
Cayuga,Onondaga,4.2631578947368425
Columbia,Westchester,18.493333333333332
Dutchess,Westchester,3.8536585365853657
Erie,Orleans,5.833333333333333
Lewis,Onondaga,4.2615384615384615
Monroe,Orleans,5.928571428571429
Monroe,Schuyler,3.3181818181818183
Monroe,Seneca,8.4
Monroe,Yates,10.08695652173913
Nassau,Putnam,2.9166666666666665
New York,Orange,3.276595744680851
New York,Putnam,17.695652173913043
Onondaga,Schuyler,3.5925925925925926
Onondaga,Seneca,8.6
Onondaga,Yates,6.1923076923076925
Orange,Westchester,4.9375
Putnam,Westchester,21.11111111111111
Rockland,Westchester,6.384615384615385
Schuyler,Tompkins,2.6666666666666665
Seneca,Tompkins,2.7586206896551726
Sullivan,Westchester,8.40625
Tompkins,Yates,2.5588235294117645
